VERMEG  ;V00     ;SODCF020;Plusieurs param XCFIELD / avenant                           ;00000000000000038849
VERMEG  ;V00     ;SODCA002;Clé FP-POLICY-NUMBER absente de XCFIELDW                    ;00000000000000000000
VERMEG  ;V00     ;SODCC029;Nombre enregistrements cible POLICY                         ;00000000000000032998
VERMEG    ;V00       ;SODCF065  ;D:\MIGDATA\DEV\FICHIER\INTER\JRISK100.FPENDORS.NON-RISK.TRI ;000035397
VERMEG  ;V00     ;SODCC030;Nombre enregistrements cible RISK-COV                       ;00000000000000033877
VERMEG  ;V00     ;SODCC031;Nombre enregistrements cible RISK-CVP                       ;00000000000000033877
VERMEG  ;V00     ;SODCF028;CO-IDENTIFIER à vide -> ignoré                              ;00000000000000000000
VERMEG  ;V00     ;SODCF092;ENDORS-COV-SERV ignorée <> 'C'                              ;00000000000000000384
VERMEG  ;V00     ;SODCF093;ENDORS-INV-SERV ignorée <> 'C'                              ;00000000000000000679
VERMEG  ;V00     ;SODCF089;Service Investment OBS->SPV non ecr                         ;00000000000000000833
VERMEG  ;V00     ;SODCF097;Service Investment OBS->DPV non ecr                         ;00000000000000000068
VERMEG  ;V00     ;SODCF098;Service Investment OBS->DPV non ecr                         ;00000000000000000048
VERMEG  ;V00     ;SODCI037;XENDFO2F trouvé pour l'avenant                              ;00000000000000000945
VERMEG  ;V00     ;SODCI038;Plusieurs XENDFO2F pour l'avenant                           ;00000000000000001521
VERMEG  ;V00     ;SODCR010;Clé FICOVRG-OID absente de XENDFO2F                         ;00000000000000000235
VERMEG  ;V00     ;SODCF068;Pilote avec FICOVRG-XFINSTGT-OID                            ;00000000000000000949
VERMEG  ;V00     ;SODCF069;XENDFO2F trouvé sur clé XFINSTGT-OID                        ;00000000000000000946
VERMEG  ;V00     ;SODCI039;Plusieurs XFINSTGT-OID pour avenant                         ;00000000000000000001
VERMEG  ;V00     ;SODCR011;Clé XFINSTGT-OID absente de XENDFO2F                        ;00000000000000000003
VERMEG  ;V00     ;SODCF068;Pilote avec FICOVRG-XFINSTGT-OID                            ;00000000000000000046
VERMEG  ;V00     ;SODCF069;XENDFO2F trouvé sur clé XFINSTGT-OID                        ;00000000000000000027
VERMEG  ;V00     ;SODCI039;Plusieurs XFINSTGT-OID pour avenant                         ;00000000000000000000
